incident_id,date,quarter,school,city,state,school_level
20220601CAULL,2022-06-01,Summer                                            ,Ulysses S. Grant Senior High School                                                                                                                                                                     ,Los Angeles                                                                                         ,CA,High                                              
20220531LAMON,2022-05-31,Spring                                            ,Morris Jeff High School                                                                                                                                                                                 ,New Orleans                                                                                         ,LA,High                                              
20220530CAHEL,2022-05-30,Spring                                            ,Helix High School                                                                                                                                                                                       ,La Mesa                                                                                             ,CA,High                                              
20220529ILDAC,2022-05-29,Spring                                            ,Daniel Webster Public School                                                                                                                                                                            ,Chicago                                                                                             ,IL,Elementary                                        
20220526SCMEG,2022-05-26,Spring                                            ,Mevers School of Excellence                                                                                                                                                                             ,Goose Creek                                                                                         ,SC,K-8                                               
20220526TXDUA,2022-05-26,Spring                                            ,Duff Elementary School                                                                                                                                                                                  ,Arlington                                                                                           ,TX,Elementary                                        
20220524TXROU,2022-05-24,Spring                                            ,Robb Elementary School                                                                                                                                                                                  ,Uvalde                                                                                              ,TX,Elementary                                        
20220524DCPOW,2022-05-24,Spring                                            ,Powell Elementary School                                                                                                                                                                                ,Washington                                                                                          ,DC,Elementary                                        
20220524WIRIM,2022-05-24,Spring                                            ,Riverside University High School                                                                                                                                                                        ,Milwaukee                                                                                           ,WI,High                                              
20220523PASIP,2022-05-23,Spring                                            ,Simon Gratz High School                                                                                                                                                                                 ,Philadelphia                                                                                        ,PA,High                                              
20220520ILSOP,2022-05-20,Spring                                            ,South Elementary School                                                                                                                                                                                 ,Pittsfield                                                                                          ,IL,Elementary                                        
20220520VAPOD,2022-05-20,Spring                                            ,Potomac High School                                                                                                                                                                                     ,Dumfries                                                                                            ,VA,High                                              
20220520TNEAC,2022-05-20,Fall                                              ,East Lake Elementary School                                                                                                                                                                             ,Chattanooga                                                                                         ,TN,Elementary                                        
20220520OHCAC,2022-05-20,Spring                                            ,Canal Winchester High School                                                                                                                                                                            ,Canal Winchester                                                                                    ,OH,High                                              
20220520ALMAT,2022-05-20,Spring                                            ,Mary W Burroughs Elementary School                                                                                                                                                                      ,Theodore                                                                                            ,AL,Elementary                                        
20220519LAHAH,2022-05-19,Spring                                            ,Hammond High Magnet School                                                                                                                                                                              ,Hammond                                                                                             ,LA,High                                              
20220519MIEAK,2022-05-19,Spring                                            ,East Kentwood High School                                                                                                                                                                               ,Kentwood                                                                                            ,MI,High                                              
20220519VAGER,2022-05-19,Spring                                            ,George Wythe High School                                                                                                                                                                                ,Richmond                                                                                            ,VA,High                                              
20220518FLPAP,2022-05-18,Spring                                            ,Palmetto High School                                                                                                                                                                                    ,Palmetto                                                                                            ,FL,High                                              
20220518TNRIM,2022-05-18,Spring                                            ,Riverdale High School                                                                                                                                                                                   ,Murfreesboro                                                                                        ,TN,High                                              
20220517ILWAC,2022-05-17,Spring                                            ,Walt Disney Magnet School                                                                                                                                                                               ,Chicago                                                                                             ,IL,K-8                                               
20220517CASAS,2022-05-17,Spring                                            ,School Bus                                                                                                                                                                                              ,San Francisco                                                                                       ,CA,Other                                             
20220516TXMEM,2022-05-16,Spring                                            ,Mexia High School                                                                                                                                                                                       ,Mexia                                                                                               ,TX,High                                              
20220515ILMEP,2022-05-15,Spring                                            ,Meadow View Elementary School                                                                                                                                                                           ,Plainfield                                                                                          ,IL,Elementary                                        
20220515NHBEB,2022-05-15,Spring                                            ,Belmont Elementary School                                                                                                                                                                               ,Belmont                                                                                             ,NH,Elementary                                        
20220513FLALW,2022-05-13,Spring                                            ,Alexander W. Dreyfoos School of the Arts                                                                                                                                                                ,West Palm Beach                                                                                     ,FL,High                                              
20220513GASOM,2022-05-13,Spring                                            ,Southwest High School                                                                                                                                                                                   ,Macon                                                                                               ,GA,High                                              
20220512TXHEH,2022-05-12,Spring                                            ,Heights High School                                                                                                                                                                                     ,Houston                                                                                             ,TX,High                                              
20220512ARHOH,2022-05-12,Spring                                            ,Hot Springs High School                                                                                                                                                                                 ,Hot Springs                                                                                         ,AR,High                                              
20220511FLJAJ,2022-05-11,Spring                                            ,Andrew Jackson High School                                                                                                                                                                              ,Jacksonville                                                                                        ,FL,High                                              
20220509GARIS,2022-05-09,Spring                                            ,Riverside Elementary School                                                                                                                                                                             ,Suwanee                                                                                             ,GA,Elementary                                        
20220509NYEDS,2022-05-09,Spring                                            ,Eden Ii Institute                                                                                                                                                                                       ,Staten Island                                                                                       ,NY,Other                                             
20220505OHLOL,2022-05-05,Spring                                            ,Lowellville K-12 School                                                                                                                                                                                 ,Lowellville                                                                                         ,OH,K-12                                              
20220505ALDOD,2022-05-05,Spring                                            ,Dothan City School Bus                                                                                                                                                                                  ,Dothan                                                                                              ,AL,K-12                                              
20220503CAARS,2022-05-03,Spring                                            ,Arrowview Middle School                                                                                                                                                                                 ,San Bernardino                                                                                      ,CA,Middle                                            
20220501OHHAC,2022-05-01,Spring                                            ,Hamilton Stem Academy                                                                                                                                                                                   ,Columbus                                                                                            ,OH,Elementary                                        
20220501VALOM,2022-05-01,Spring                                            ,Louise A. Benton Middle School                                                                                                                                                                          ,Manassas                                                                                            ,VA,Middle                                            
20220430PAMCJ,2022-04-30,Spring                                            ,McKee Middle School (McKee Stadium)                                                                                                                                                                     ,Jeannette City                                                                                      ,PA,Middle                                            
20220427TXMOS,2022-04-27,Spring                                            ,Morrill Elementary School                                                                                                                                                                               ,San Antonio                                                                                         ,TX,Elementary                                        
20220427INCOS,2022-04-27,Spring                                            ,Coquillard Elementary School                                                                                                                                                                            ,South Bend                                                                                          ,IN,Elementary                                        
20220426MIASI,2022-04-26,Spring                                            ,Aspen Ridge School                                                                                                                                                                                      ,Ishpeming Township                                                                                  ,MI,K-8                                               
20220426GASOM,2022-04-26,Spring                                            ,Southwest High School                                                                                                                                                                                   ,Macon                                                                                               ,GA,High                                              
20220425WIWIM,2022-04-25,Spring                                            ,Wisconsin Conservatory of Lifelong Learning                                                                                                                                                             ,Milwaukee                                                                                           ,WI,6-12                                              
20220425GAMAM,2022-04-25,Spring                                            ,Marietta City Schools Bus Yard                                                                                                                                                                          ,Marietta                                                                                            ,GA,Other                                             
20220424MOHAF,2022-04-24,Spring                                            ,Hazelwood Central High School                                                                                                                                                                           ,Florissant                                                                                          ,MO,High                                              
20220422ORHOS,2022-04-22,Spring                                            ,Houck Middle School                                                                                                                                                                                     ,Salem                                                                                               ,OR,Middle                                            
20220422DCEDW,2022-04-22,Spring                                            ,Edmund Burke School                                                                                                                                                                                     ,Washington                                                                                          ,DC,6-12                                              
20220422CAMOR,2022-04-22,Spring                                            ,Mountain View Middle School                                                                                                                                                                             ,Redding                                                                                             ,CA,Middle                                            
20220421NDMOM,2022-04-21,Spring                                            ,Mott-Regent High School                                                                                                                                                                                 ,Mott                                                                                                ,ND,K-12                                              
20220416IAMED,2022-04-16,Spring                                            ,Meredith Middle School                                                                                                                                                                                  ,Des Moines                                                                                          ,IA,Middle                                            
20220415VAGAW,2022-04-15,Spring                                            ,Gar-Field High School                                                                                                                                                                                   ,Woodbridge                                                                                          ,VA,High                                              
20220414MSNEP,2022-04-14,Spring                                            ,Neshoba Central High School                                                                                                                                                                             ,Philadelphia                                                                                        ,MS,High                                              
20220413MISHS,2022-04-13,Spring                                            ,Shelters Elementary School                                                                                                                                                                              ,Southgate                                                                                           ,MI,Elementary                                        
20220411ARPIP,2022-04-11,Spring                                            ,Pine Bluff High School                                                                                                                                                                                  ,Pine Bluff                                                                                          ,AR,High                                              
20220410MALYL,2022-04-10,Spring                                            ,Lynn English High School                                                                                                                                                                                ,Lynn                                                                                                ,MA,High                                              
20220406WVRIR,2022-04-06,Spring                                            ,Ripley Middle School                                                                                                                                                                                    ,Ripley                                                                                              ,WV,Middle                                            
20220406ORROP,2022-04-06,Spring                                            ,Roosevelt High School                                                                                                                                                                                   ,Portland                                                                                            ,OR,High                                              
20220406WASTM,2022-04-06,Spring                                            ,St. Monica Catholic School                                                                                                                                                                              ,Mercer Island                                                                                       ,WA,Elementary                                        
