weaponid,incidentid,weaponcaliber,weapondetails,weapontype
0,19700105DCHIW                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1,19700105DCSOW                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2,19700105DCUNW                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3,19700206OHJOC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4,19700323CADAL                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
5,19700415ARPIP                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Multiple Handguns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
6,19700422DEPIW                                                                                                                     ,.38 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
7,19700508FLCAD                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
8,19700515UTBEO                                                                                                                     ,9mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
9,19700828TXRIE                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10,19700831FLALM                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Rifle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
11,19700914TNHAN                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Rifle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
12,19700924IDMEM                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
13,19700928IACED                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
14,19701005MIPOD                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
15,19701019TNBOM                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
16,19701020TNWAN                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
17,19701027OHAPM                                                                                                                     ,.38 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
18,19701120ILHAC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
